Codigo;Producto;Bandejas
1;Frances;
2;Pirujo peque¤o;
54;Pirujo mediano;
5;Pirujo integral;
6;Baguett;
7;Pan de agua;
8;Lenguas;
43;Campechanas;
;;
;;
Codigo;Producto;Harina
9;Pan dulce peque¤o;
10;Tostado peque¤o;
40;Galleta;
41;Pan grande;
47;Torta mejicana;
77;Tostado grande;
80;Gastos;
38;Palito bolsa;
44;Tostado empacado;
